,id,name,domain,founded_at,state_code,country_code,entity_type,category_code,funding_total_usd,milestones,industry,size range,current employee estimate,num_employees_bucket,page_rank_value
19779,c:266398,Blueprint Genetics,blueprintgenetics.com,2012-04-01,,FIN,Company,biotech,,1,hospital & health care,201 - 500,89,50,6.41275992731772e-08
19780,c:266407,Unisoft Informatics System,unisoftinformatics.com,,,,Company,software,,,information technology and services,1 - 10,1,50,1.15715641446277e-08
19781,c:266409,BDA,bdacreative.com,,,GBR,Company,,,,media production,11 - 50,16,50,3.36749381111014e-08
19782,c:266449,hello,hello.is,2013-10-07,,,Company,web,,1,consumer electronics,201 - 500,192,1,2.12284436057248e-07
19783,c:266459,Dynasty Sports and Gaming,dynastysports.com,,,,Company,sports,,,gambling & casinos,1 - 10,0,1,4.62681002296409e-09
19784,c:266462,Touchtalent,touchtalent.com,2012-04-13,,IND,Company,design,60000,1,internet,1 - 10,4,1,6.39610826629125e-08
19786,c:26647,System Innovators,systeminnovators.com,,FL,USA,Company,software,,,computer software,11 - 50,18,1,2.1694929234549902e-08
19787,c:266483,Jongkind Training & Coaching,jongkind-training.nl,2011-01-01,,,Company,education,,,professional training & coaching,1 - 10,1,1,6.45989975573261e-09
19789,c:26653,Stayhealthy,stayhealthy.com,1995-01-01,CA,USA,Company,health,,1,"health, wellness and fitness",11 - 50,8,50,3.995693054787609e-08
19790,c:26654,Tiverias Apps,tiveriasapps.com,2009-05-18,MA,USA,Company,software,,,computer software,1 - 10,0,1,7.148814707390401e-09
19791,c:266540,AllSeated,allseated.com,2011-01-01,NY,USA,Company,web,,,internet,11 - 50,9,1,1.59089653436052e-07
19792,c:266550,Tristar,tristarworldwide.com,,,GBR,Company,,,1,transportation/trucking/railroad,201 - 500,115,500,3.61617826471246e-08
19793,c:266556,LearnBIG,learnbig.com,,,USA,Company,education,1000000,,e-learning,1 - 10,1,1,4.8994473761580303e-08
19794,c:266559,Boston Dynamics,bostondynamics.com,1992-01-01,MA,USA,Company,software,,1,computer software,51 - 200,44,50,9.02353560943952e-07
19795,c:26656,Designer Pages Online,designerpages.com,2008-06-15,NY,USA,Company,other,350000,1,internet,11 - 50,13,1,2.13660153437227e-07
19796,c:266561,MedImpact Healthcare Systems,medimpact.com,1989-01-01,CA,USA,Company,health,1376848,,pharmaceuticals,1001 - 5000,834,1000,4.65963328463976e-07
19797,c:266563,Pepper Group,pepper.com.au,2001-01-01,,AUS,Company,finance,,1,financial services,1001 - 5000,525,500,6.52739344216892e-08
19798,c:266571,Ultra Solutions,ultrasolutions.com,,CA,USA,Company,medical,,,medical devices,11 - 50,22,1,1.91875593288821e-08
19799,c:266572,Arkansas Children's Hospital,archildrens.org,1912-01-01,AR,USA,Company,biotech,3500000,,hospital & health care,1001 - 5000,1285,1000,4.2862951288327e-07
19800,c:26658,A Small Orange,asmallorange.com,2003-01-01,GA,USA,Company,network_hosting,,,internet,11 - 50,22,50,3.2975220084834196e-05
19801,c:266582,Social Market Analytics,socialmarketanalytics.com,2012-01-01,IL,USA,Company,social,110000,,financial services,11 - 50,9,1,4.60801796612724e-06
19802,c:266591,Automatic Remote Access,araccess.com.au,,,,Company,manufacturing,,,construction,1 - 10,2,1,6.61282555976725e-09
19804,c:266596,Clifford Thames,clifford-thames.com,,,GBR,Company,,9648860,,automotive,201 - 500,121,500,1.3693374294943401e-08
19805,c:26660,Nebo Agency,neboagency.com,2004-01-01,GA,USA,Company,advertising,,,marketing and advertising,51 - 200,80,50,1.9877659554828802e-07
19806,c:266601,NOUS,nous.net,2012-09-08,,GBR,Company,education,,,financial services,1 - 10,4,1,5.7749343073785e-08
19807,c:266607,RNR Associates,rnrassociates.com,1999-01-01,FL,USA,Company,design,,1,mechanical or industrial engineering,11 - 50,8,1,1.4639416647715902e-08
19808,c:266608,Sysorex,sysorex.com,1972-01-01,CA,USA,Company,consulting,36332418,,computer software,51 - 200,39,1,5.09491120524668e-08
19809,c:26662,bab.la,bab.la,2007-05-01,,DEU,Company,web,,,e-learning,11 - 50,16,1,1.24960911900046e-06
19810,c:266620,Picosun,picosun.com,,,FIN,Company,manufacturing,6947640,,nanotechnology,51 - 200,37,200,5.15396950165751e-08
19811,c:266624,Paradigm Learning,paradigmlearning.com,1994-01-01,,,Company,education,,,professional training & coaching,11 - 50,22,1,2.26072448332088e-08
19812,c:266630,WildFire Connections,wildfireconnections.com,2008-01-01,NC,USA,Company,mobile,300000,,wireless,11 - 50,7,1,5.30095081281068e-09
19813,c:266640,OBS,obs.com.au,,,AUS,Company,software,,,information technology and services,501 - 1000,251,500,2.52626496365051e-08
19814,c:266646,Empired,empired.com,1999-01-01,WA,USA,Company,software,,,information technology and services,501 - 1000,348,500,1.0805260794637801e-07
19815,c:26665,Slurp.co.uk,slurp.co.uk,2006-06-01,,GBR,Company,ecommerce,200000,,wine and spirits,1 - 10,4,1,7.90478917935655e-08
19816,c:266674,Severalnines,severalnines.com,2011-01-01,,SWE,Company,software,,1,computer software,51 - 200,18,1,8.209874750536971e-07
19817,c:266677,Pymetrics,pymetrics.com,,NY,USA,Company,software,2500000,,computer software,51 - 200,45,50,1.4904728704371099e-06
19818,c:26669,Bivio Networks,bivio.net,2000-06-01,CA,USA,Company,network_hosting,40800000,1,computer & network security,11 - 50,16,1,7.372163882215019e-08
19819,c:266690,Fixnetix,fixnetix.com,,,GBR,Company,software,,,information technology and services,51 - 200,85,50,1.0609532333683e-07
19820,c:266693,Reading Room,readingroom.com,,,GBR,Company,,,,internet,51 - 200,87,1,3.04050846211343e-07
19821,c:266711,eDataIndia,edataindia.com,2006-01-01,,,Company,ecommerce,,,information technology and services,11 - 50,18,50,7.92835915120766e-09
19822,c:266714,Nutshell,nutshell.com,2010-01-01,MI,USA,Company,software,750000,,computer software,11 - 50,20,1,1.22549565984752e-06
19823,c:266717,Cureatr,cureatr.com,2011-01-01,NY,USA,Company,software,6125000,1,information technology and services,11 - 50,15,1,4.77253437166691e-08
19824,c:266732,Enmetric Systems,enmetric.com,2008-01-01,CA,USA,Company,software,3735202,,commercial real estate,1 - 10,1,1,9.11159147103666e-09
19825,c:266734,Napo Pharmaceuticals,napopharma.com,2001-01-01,CA,USA,Company,biotech,6084369,,pharmaceuticals,11 - 50,16,1,3.7206078774061e-08
19826,c:266738,Official Payments,officialpayments.com,1994-01-01,GA,USA,Company,software,,,information technology and services,201 - 500,152,1,1.4485970067234101e-06
19827,c:266747,Elite Systems Group,elite-systems.co.uk,1984-08-14,,GBR,Company,games_video,,1,computer games,11 - 50,10,1,6.03360643612396e-08
19828,c:26675,"Famigo, Inc.",famigo.com,2010-01-01,TX,USA,Company,mobile,1020000,,computer software,1 - 10,3,1,1.8886775968872897e-07
19829,c:266752,Sea Star Line,seastarline.com,1985-01-01,FL,USA,Company,transportation,,,transportation/trucking/railroad,51 - 200,61,200,2.53886023003977e-08
19830,c:266756,ecoInsight,ecoinsight.com,,GA,USA,Company,software,800000,,internet,11 - 50,22,1,1.21173676772913e-08
19831,c:266759,DNS:Net,dns-net.de,1998-01-01,,DEU,Company,mobile,6433000,,telecommunications,1 - 10,3,200,1.93195481440033e-07
19832,c:266783,IMVDb,imvdb.com,2012-10-01,,,Company,news,,1,entertainment,1 - 10,2,500,1.52567110317465e-07
19833,c:266793,Telemis,telemis.com,1999-04-01,,,Company,medical,,1,medical devices,51 - 200,47,1,6.366891700350059e-08
19834,c:26680,iML,iml-inc.com,1996-01-01,CA,USA,Company,semiconductor,,1,law practice,1 - 10,2,1,7.53870670068805e-09
19835,c:26681,Kineto Wireless,kineto.com,2001-01-01,CA,USA,Company,mobile,42449379,2,telecommunications,11 - 50,11,1,2.3561649062876202e-08
19836,c:266819,Financiere Cambon,financierecambon.com,2003-10-10,,FRA,Company,finance,,,investment banking,51 - 200,21,1,5.376970852687921e-09
19838,c:266844,Next Level Funding,nextlevelfunding.com,,,,Company,finance,,,financial services,11 - 50,9,1,6.98723566651732e-09
19839,c:266862,Projecis,projecis.com,2009-10-09,CA,USA,Company,software,,1,computer software,1 - 10,2,1,1.23619827635297e-08
19840,c:266871,SwiftIQ,swiftiq.com,2011-08-22,IL,USA,Company,analytics,,1,internet,11 - 50,17,1,6.79255994758585e-08
19841,c:266876,Jack Frost Design,jackfrostdesign.com,1968-01-01,CA,USA,Company,enterprise,,1,information technology and services,1 - 10,5,1,7.667917411647141e-09
19842,c:266882,InTuun Systems,intuun.com,2007-01-01,NV,USA,Company,health,750015,,hospital & health care,1 - 10,0,1,4.55151408934901e-09
19843,c:266888,Alton Lane,altonlane.com,2009-01-01,NY,USA,Company,ecommerce,745000,,apparel & fashion,51 - 200,54,50,9.31405252169344e-08
19844,c:26689,Silego Technology,silego.com,2001-10-01,CA,USA,Company,semiconductor,5750000,1,semiconductors,51 - 200,47,200,1.2083041837219801e-07
19845,c:266893,Sweetwater Energy,sweetwater.us,,NY,USA,Company,cleantech,16000000,,renewables & environment,11 - 50,19,1,1.3958074352351898e-08
19846,c:266896,Metals X,metalsx.com.au,2004-01-01,WA,USA,Company,manufacturing,,,mining & metals,51 - 200,69,200,1.49671845587803e-08
19847,c:26690,Venturi Wireless,venturiwireless.com,1993-10-01,CA,USA,Company,mobile,10000000,1,wireless,11 - 50,7,1,2.96389408204041e-08
19848,c:266908,Ambature,ambature.com,2007-01-01,CA,USA,Company,hardware,225000,,nanotechnology,11 - 50,6,1,5.32852589299906e-09
19849,c:26691,GoTV Networks,gotvnetworks.com,1997-01-01,CA,USA,Company,mobile,28000000,2,wireless,11 - 50,8,1,1.5655716829650802e-08
19850,c:266914,yWPress,ywpress.com,2010-01-07,,IND,Company,software,,1,information technology and services,201 - 500,67,50,5.0126062105038795e-09
19851,c:266920,Modern Medical,modernmedical.com,1986-01-01,OH,USA,Company,hospitality,,,hospital & health care,51 - 200,32,50,1.53523401804846e-08
19852,c:266926,Soricimed,soricimed.com,2005-01-01,,CAN,Company,biotech,109000,,biotechnology,11 - 50,10,1,1.3759790398141102e-08
19853,c:266939,Tern,ternbicycles.com,2011-01-01,,TWN,Company,transportation,4300000,,sporting goods,51 - 200,22,50,3.14412167734508e-07
19854,c:26694,Nexio,nexio.com,,,CAN,Company,enterprise,2750000,,information technology and services,201 - 500,104,50,6.184265789360359e-08
19855,c:266955,KPA,kpaonline.com,,CO,USA,Company,software,5000000,,automotive,201 - 500,169,200,1.16551896742984e-07
19856,c:266957,OSEA,osea.com,1991-01-01,NY,USA,Company,health,,,environmental services,11 - 50,11,1,1.4910083779593e-08
19857,c:266958,My Taxi India Pvt. Ltd.,mytaxiindia.com,2008-01-05,,,Company,transportation,,,internet,11 - 50,16,1,3.8813282623777504e-08
19858,c:26696,AIMM Therapeutics,aimmtherapeutics.com,,,NLD,Company,biotech,,,biotechnology,51 - 200,18,1,2.08657286744517e-08
19859,c:266964,VentureScout,venturescout.com,,,GBR,Company,other,,,venture capital & private equity,11 - 50,6,1,1.1221281197597299e-08
19860,c:266988,Sepior,sepior.com,,,DNK,Company,software,,,computer software,11 - 50,7,1,3.19232444040117e-08
19861,c:266995,AxisRooms,axisrooms.com,,,IND,Company,software,,,hospitality,201 - 500,73,50,3.74057093179604e-07
19862,c:266996,Fiveworx,fiveworx.com,,TN,USA,Company,cleantech,,,utilities,1 - 10,3,50,1.37431944996263e-08
19863,c:266997,New Pathway Education,npathway.com,2010-01-01,,,Company,education,,,education management,51 - 200,29,50,5.8204188644384604e-09
19864,c:267008,AirService,airservice.com,2010-01-01,,AUS,Company,mobile,,1,internet,11 - 50,21,1,2.65191878913437e-08
19865,c:267009,Festive Tours,festivetours.com,,,IND,Company,travel,,,"leisure, travel & tourism",1 - 10,1,1,5.7883821848863495e-09
19867,c:267011,NaphCare,naphcare.com,1989-01-01,AL,USA,Company,health,500000,,hospital & health care,501 - 1000,361,500,4.40027962744071e-08
19868,c:267013,Synthace,synthace.com,,,GBR,Company,biotech,4869827,,biotechnology,51 - 200,31,50,6.08636393210546e-08
19869,c:267016,CCgroup,ccgrouppr.com,1985-06-17,,GBR,Company,public_relations,,1,public relations and communications,51 - 200,42,1,4.62810156992653e-08
19871,c:26703,Bakbone Software,bakbone.com,2002-01-01,,USA,Company,security,,3,computer software,11 - 50,23,200,7.1474871809604e-08
19872,c:267036,FluGen,flugen.com,2007-01-01,WI,USA,Company,biotech,3276853,,biotechnology,1 - 10,3,1,2.320850617866e-08
19873,c:267041,DS Laboratories,dslaboratories.com,2007-01-01,FL,USA,Company,health,1730000,,cosmetics,11 - 50,24,50,5.7973990853827e-08
19874,c:26707,Microsemi,microsemi.com,,CA,USA,Company,semiconductor,,2,semiconductors,1001 - 5000,1869,1000,1.12720401296117e-06
19875,c:267074,ExitAdviser,exitadviser.com,2012-05-03,,GBR,Company,enterprise,,1,management consulting,1 - 10,2,1,5.26918320028228e-08
19876,c:26708,Sovicell,sovicell.com,,,DEU,Company,biotech,1190000,,biotechnology,1 - 10,1,1,8.46918549996562e-09
19877,c:267081,DI Telegraph,dreamindustries.co,2013-01-01,,RUS,Company,other,,,information technology and services,11 - 50,16,50,1.76520948634347e-08
19878,c:267083,JAG Shaw Baker,jagshawbaker.com,,,GBR,Company,legal,,,law practice,51 - 200,32,1,8.146968141352131e-08
19879,c:267094,"Cloudzilla Inc.,",cloudzilla.com,,CA,USA,Company,software,,,computer software,1 - 10,2,1,4.779228481534939e-09
19880,c:267115,SunView Software,sunviewsoftware.com,2003-01-01,FL,USA,Company,software,,,computer software,51 - 200,35,50,4.6354870635337105e-08
19881,c:267119,Switch Easy,switcheasy.com,2005-01-01,,,Company,hardware,,,consumer goods,11 - 50,5,1,9.79984754499856e-08
19882,c:26713,Integrated Silicon Solution,issi.com,,CA,USA,Company,semiconductor,,,semiconductors,201 - 500,117,500,1.69939884011166e-07
19883,c:267130,Advance Insurance & Beneftis Inc,advancenv.com,,,,Company,finance,,,insurance,51 - 200,40,1,5.80668303311598e-09
19884,c:56257,Advance Insurance & Benefits,advancenv.com,,NV,USA,Company,other,,,insurance,51 - 200,40,1,5.80668303311598e-09
19885,c:267134,Smart Selling Tools,smartsellingtools.com,2007-01-01,CA,USA,Company,news,,1,online media,1 - 10,2,1,1.09681834747416e-06
19886,c:267135,Ideapoke,ideapoke.com,2011-01-01,CA,USA,Company,software,,,internet,11 - 50,24,1,2.2460591846776297e-08
19887,c:267151,Aurinia Pharmaceuticals,auriniapharma.com,,,CAN,Company,biotech,,1,biotechnology,11 - 50,23,1,4.17008077817447e-08
19888,c:267153,Vaddio,vaddio.com,2003-01-01,MN,USA,Company,manufacturing,37600000,,electrical/electronic manufacturing,51 - 200,46,50,1.75432993289379e-07
19889,c:267155,Vintek,vintek.com,1990-01-01,PA,USA,Company,software,,,information technology and services,11 - 50,11,50,1.0968848819906998e-08
19890,c:267168,DiabetOmics,diabetomics.com,2008-01-01,OR,USA,Company,health,3500000,,medical devices,11 - 50,8,1,9.43871947278411e-09
19891,c:26717,Veeco Instruments,veeco.com,1945-01-01,NY,USA,Company,hardware,4800000,2,semiconductors,1001 - 5000,564,1000,1.35637534231432e-07
19892,c:2672,Fibre2fashion,fibre2fashion.com,2000-04-17,,IND,Company,enterprise,,,textiles,201 - 500,151,50,2.91534410918026e-06
19893,c:267200,Skyn Iceland,skyniceland.com,,NY,USA,Company,ecommerce,100000,,cosmetics,11 - 50,12,50,8.65360972972168e-08
19894,c:267204,MAAC INDIA,maacindia.com,,,,Company,design,,,animation,1001 - 5000,438,1,4.4423227789024805e-08
19895,c:267215,Surgical Care Affiliates,scasurgery.com,1982-01-01,AL,USA,Company,biotech,25745170,,hospital & health care,1001 - 5000,1064,5000,9.404716667091401e-08
19896,c:267219,RTB House,rtbhouse.com,2012-01-01,,POL,Company,ecommerce,,,internet,501 - 1000,199,200,7.47643036136545e-07
19897,c:267232,Bkam,bkam.com,2012-10-01,,,Company,web,,,information technology and services,11 - 50,8,1,2.0598201754101798e-08
19898,c:26724,Hosting.com,hosting.com,,KY,USA,Company,network_hosting,2000000,2,information technology and services,201 - 500,204,200,3.9184102510944206e-07
19899,c:267241,Precipio Diagnostics,precipiodx.com,2011-01-01,CT,USA,Company,biotech,2875000,,hospital & health care,11 - 50,21,1,1.3573086870547301e-08
19900,c:267242,ExceleraRx,excelerarx.com,2011-01-01,MN,USA,Company,biotech,300000,,hospital & health care,11 - 50,9,1,1.3198386785971799e-08
19901,c:267245,MedCPU,medcpu.com,2008-01-01,NY,USA,Company,health,1300000,,hospital & health care,51 - 200,33,1,1.8727316070146598e-08
19902,c:267247,New Century Hospice,newcenturyhospice.com,2006-01-01,TX,USA,Company,biotech,2296337,,hospital & health care,51 - 200,78,200,7.02976387138256e-09
19903,c:267248,Advivi,advidi.com,2012-01-01,,NLD,Company,advertising,,,marketing and advertising,51 - 200,56,50,1.11981285877471e-07
19904,c:267251,Wilkerson & Hegna,wilkersonhegna.com,,MN,USA,Company,legal,,,law practice,1 - 10,1,1,4.65954496887853e-09
19905,c:267256,Claret Medical,claretmedical.com,2009-01-01,CA,USA,Company,hardware,3627129,,medical devices,51 - 200,35,50,2.04080668450376e-08
19906,c:267258,"Lancaster Dental Arts, P.C.",lancasterdentalarts.com,2010-01-01,PA,USA,Company,health,,,"health, wellness and fitness",1 - 10,2,1,5.25373856585678e-09
19907,c:267270,Breathing Color,breathingcolor.com,,TX,USA,Company,design,,,paper & forest products,11 - 50,7,1,1.64884865981725e-07
19908,c:267276,Sapience Analytics Pvt Ltd,sapience.net,2009-01-01,,IND,Company,software,,1,computer software,51 - 200,53,1,3.90191426720626e-08
19910,c:267287,Force Therapeutics,forcetherapeutics.com,2010-01-01,NY,USA,Company,health,500000,,hospital & health care,11 - 50,21,1,3.04578761380004e-08
19911,c:267293,Designsters,designsters.com,,NY,USA,Company,design,,,internet,11 - 50,8,50,3.1088246133106806e-08
19912,c:267312,Cumberland Farms,cumberlandfarms.com,1938-01-01,,,Company,hospitality,,,retail,1001 - 5000,832,5000,2.09685757756393e-07
19913,c:267341,ApnaCourse,apnacourse.com,2013-08-10,,IND,Company,education,,,e-learning,1 - 10,2,1,2.8073389348717897e-08
19914,c:267360,PlateSmart,platesmart.com,2004-08-12,FL,USA,Company,analytics,,,computer software,11 - 50,20,1,1.55696927603396e-08
19915,c:267363,Tucker/Hall,tuckerhall.com,1993-04-01,FL,USA,Company,public_relations,,,public relations and communications,11 - 50,18,1,1.0335006228815499e-07
19916,c:267374,PartMyRide,partmyride.com,2013-06-01,,,Company,automotive,,,automotive,1 - 10,2,1,9.039937183372991e-09
19917,c:267377,ChaiOne,chaione.com,2008-06-08,TX,USA,Company,mobile,,1,information technology and services,51 - 200,31,50,1.2644475999355302e-07
19918,c:26739,Grassroots,grassroots.com,,DC,USA,Company,public_relations,,2,public relations and communications,1 - 10,4,1,7.30738254069378e-08
19919,c:267403,Brenntag AG,brenntag.com,1966-01-01,,DEU,Company,other,,,chemicals,5001 - 10000,2089,10000,5.41724850339443e-07
19920,c:267408,Synergis Education,synergiseducation.com,2011-01-01,AZ,USA,Company,education,33000000,,higher education,51 - 200,50,50,3.35372432210157e-08
19921,c:267421,Grohe AG,grohe.com,1936-01-01,,DEU,Company,manufacturing,,,consumer goods,1001 - 5000,1072,5000,1.19247556740204e-06
19922,c:267428,Databricks,databricks.com,,CA,USA,Company,analytics,14000000,,computer software,201 - 500,247,200,3.36795909021338e-06
19923,c:267431,Orthobond,orthobond.com,2004-01-01,NJ,USA,Company,biotech,2147092,,biotechnology,1 - 10,3,1,9.352191583295941e-09
19924,c:267438,Personal Genome Diagnostics (PGD),personalgenome.com,2010-01-01,MD,USA,Company,health,500000,,biotechnology,201 - 500,151,50,5.514229155848251e-08
19925,c:267439,DiscGenics,discgenics.com,2007-01-01,UT,USA,Company,biotech,1839000,,biotechnology,11 - 50,10,1,1.6218697086168702e-08
19926,c:267441,Sagurao Resources,saguaroresources.com,,,CAN,Company,manufacturing,315000000,,oil & energy,11 - 50,25,1,7.69642887898356e-09
19927,c:267451,Redgage,redgage.com,2007-01-01,FL,USA,Company,web,397000,,internet,11 - 50,6,1,1.06430996991959e-07
19928,c:267454,mitbrand,mitbrand.com,1965-01-01,,,Company,consulting,,,construction,51 - 200,50,50,8.500673012688771e-09
19929,c:267456,TVSmiles,tvsmiles.de,,,DEU,Company,mobile,,1,entertainment,11 - 50,16,50,2.14632020302161e-08
19931,c:267461,CHW Forge,chwforge.com,1956-01-01,,,Company,local,,,legal services,1 - 10,0,1,1.3583448198043301e-08
19932,c:267464,LoveLive.TV,lovelive.tv,2008-01-01,,GBR,Company,news,2700000,,music,11 - 50,12,1,4.54525955285158e-08
19933,c:267465,JobAdder,jobadder.com,2005-01-01,,AUS,Company,software,,1,computer software,51 - 200,55,50,3.77197389336927e-07
19934,c:267476,Teslarati,teslarati.com,,CA,USA,Company,automotive,,,online media,1 - 10,4,1,6.37663498329958e-07
19935,c:267478,Northwest Evaluation Association,nwea.org,1974-01-01,OR,USA,Company,nonprofit,17000000,,education management,501 - 1000,495,500,7.774313556983771e-07
19936,c:267489,Solvace,solvace.com,2011-07-12,,BEL,Company,enterprise,,1,information technology and services,1 - 10,1,1,2.08432613496583e-08
19937,c:267494,Rockland Toyota,rocklandtoyota.com,,,,Company,automotive,,,automotive,11 - 50,18,1,1.2436272118596599e-08
19938,c:267527,Ampio Pharmaceuticals,ampiopharma.com,,CO,USA,Company,biotech,585000,1,biotechnology,11 - 50,8,1,2.74619088376962e-08
19939,c:26754,Acme Packet,acmepacket.com,,MA,USA,Company,network_hosting,,2,telecommunications,201 - 500,165,500,1.3913222453958198e-07
19940,c:267542,LeadPages,leadpages.net,,MN,USA,Company,software,5000000,1,computer software,51 - 200,55,50,5.24025760948618e-05
19941,c:267558,ApexPeak,apexpeak.com,2013-02-01,,SGP,Company,web,1840000,1,financial services,1 - 10,1,1,1.08734967355823e-08
19942,c:267560,Lambert Smith Hampton,lsh.co.uk,1990-01-01,,GBR,Company,real_estate,,1,commercial real estate,1001 - 5000,798,1000,1.49530320173944e-07
19943,c:267561,SellAnyCar.com,sellanycar.com,2013-09-01,,,Company,web,,,automotive,51 - 200,53,50,2.0343355783157302e-08
19944,c:26757,FremantleMedia Ventures,fremantlemedia.com,,NY,USA,Company,games_video,,1,media production,1001 - 5000,1092,500,4.3851322222391794e-07
19945,c:267575,Wastecycle,wastecycle.co.uk,,,GBR,Company,local,,,environmental services,51 - 200,49,50,2.5183488867588397e-08
19946,c:267581,GAINSY,gainsy.com,,,VCT,Company,finance,,,financial services,11 - 50,6,1,3.80890339536676e-08
19947,c:267596,ULC Robotics,ulcrobotics.com,,NY,USA,Company,other,,,utilities,51 - 200,32,50,2.67997890508521e-08
19948,c:267599,Infermedica,infermedica.com,2012-06-01,,,Company,software,,1,computer software,51 - 200,22,1,1.69901501787784e-07
19950,c:267601,BearCom,bearcom.com,,TX,USA,Company,mobile,,,wireless,501 - 1000,280,200,1.37455727250196e-07
19951,c:267603,"Vistex, Inc.",vistex.com,2009-01-01,IL,USA,Company,software,,,computer software,1001 - 5000,611,1000,8.18199217902857e-08
19953,c:267612,Waters Consulting Group,watersconsulting.com,,TX,USA,Company,other,,,human resources,11 - 50,9,1,1.1079230798483601e-08
19954,c:267614,Worldwide Express,wwex.com,,TX,USA,Company,other,,,package/freight delivery,1001 - 5000,876,1000,1.50133531647898e-07
19955,c:267618,BancTec,banctec.com,,TX,USA,Company,,,,outsourcing/offshoring,1001 - 5000,579,1000,5.49774735777952e-08
19956,c:267622,Recco Products,reccofilters.com,1968-01-01,MI,USA,Company,manufacturing,,,aviation & aerospace,1 - 10,3,50,4.915806081123429e-09
19957,c:267625,Amazing Spaces,amazingspaces.net,,TX,USA,Company,local,,,consumer services,11 - 50,8,1,1.5118672882452602e-08
19958,c:26763,Cornell University,cornell.edu,,,,Company,,,1,higher education,10001+,9628,5000,5.4855569056737105e-05
19959,c:267636,Digital Animal,digitalanimal.com,,,GBR,Company,advertising,,1,marketing and advertising,11 - 50,6,1,1.85419127455029e-08
19960,c:267639,RGR Marketing,rgrmarketing.com,,CA,USA,Company,finance,,,marketing and advertising,11 - 50,6,50,2.0503058384226298e-08
19961,c:267643,SignalFire,signalfire.com,,,,Company,analytics,,1,internet,11 - 50,23,1,1.1546042789978301e-07
19962,c:267646,Arcus Solutions,arcussolutions.com,2013-08-01,MA,USA,Company,software,,,computer software,1 - 10,0,500,4.54676057651462e-09
19963,c:267653,Akdemia,akdemia.com,2012-07-01,,,Company,education,,1,education management,11 - 50,8,1,3.484326427114241e-08
19964,c:267655,CloudWare Technologies,cloudware.ng,2012-01-24,,NGA,Company,web,,2,information technology and services,11 - 50,5,1,2.43278234944503e-08
19966,c:267656,Product Advance,productadvance.com,2009-06-01,FL,USA,Company,other,,,marketing and advertising,11 - 50,6,1,1.7092341964422302e-08
19967,c:267666,Payment Depot,paymentdepot.com,2013-08-01,CA,USA,Company,finance,,1,financial services,1 - 10,5,1,1.80595097999017e-08
19968,c:267667,Ubiquity,ubiquity.co.nz,2000-01-01,,NZL,Company,software,,,marketing and advertising,11 - 50,14,50,1.5392787789546402e-07
19969,c:26767,MSpace,yourmspace.com,,,,Company,enterprise,,,telecommunications,11 - 50,10,1,6.6398882946257705e-09
19970,c:267676,IntroMaps,intromaps.com,,CA,USA,Company,software,,2,information technology and services,1 - 10,0,1,5.1213327037866395e-09
19972,c:267679,Travel Online,travelonline.com,1994-01-01,,,Company,travel,,,"leisure, travel & tourism",1 - 10,2,1,2.3631896237727102e-07
19973,c:26768,FinAnalytica,finanalytica.com,,NY,USA,Company,software,7000000,1,financial services,11 - 50,16,1,7.89512126569976e-09
19974,c:267683,Prototype Commercial Furniture,prototype.net.au,1991-01-01,,,Company,ecommerce,,,furniture,11 - 50,14,1,6.325725652864991e-09
19975,c:26769,Systancia,systancia.com,,,,Company,software,2078700,,computer software,51 - 200,39,50,6.58309614347958e-08
19976,c:267696,One World Labs,oneworldlabs.com,2010-01-01,CO,USA,Company,security,,1,information technology and services,11 - 50,11,1,2.02664083382815e-08
19977,c:267697,Jobs The Word,jobstheword.co.uk,2011-01-01,,GBR,Company,consulting,795507,,internet,11 - 50,14,1,1.8250073283843703e-08
19978,c:267702,41studio,41studio.com,2008-02-01,,IDN,Company,software,,1,computer software,51 - 200,34,1,9.94631634823932e-09
19979,c:267708,ProZyme,prozyme.com,1990-01-01,CA,USA,Company,biotech,321414,,biotechnology,51 - 200,30,50,2.96533005131177e-08
19980,c:267726,Toray Industries,toray.com,,,JPN,Company,nanotech,,,chemicals,1001 - 5000,336,10000,6.3784452172779e-07
19981,c:267735,eDossea,edossea.com,,IA,USA,Company,hardware,100000,,medical practice,1 - 10,1,1,1.90220918375146e-08
19982,c:267741,MemberPlanet,memberplanet.com,,CA,USA,Company,software,2500000,,non-profit organization management,11 - 50,19,1,6.313316076345671e-07
19983,c:267742,Mowjow,mowjow.com,2004-01-01,,GBR,Company,games_video,757626,,entertainment,11 - 50,11,1,2.7957635826287096e-08
19984,c:267743,MegaTraffik Technologies,megatraffik.com,,,,Company,advertising,,,information technology and services,11 - 50,7,1,5.3999755916594296e-09
19985,c:267744,WOW1DAY Painting,wow1day.com,,,,Company,design,,,consumer services,51 - 200,66,200,1.2146966362135998e-07
19986,c:267760,BioInspire Technologies,bioinspiretechnologies.com,2009-01-01,CA,USA,Company,biotech,3124082,,hospital & health care,1 - 10,4,1,4.95503285113495e-09
19987,c:267768,Kupu Hawaii,kupuhawaii.org,,HI,USA,Company,nonprofit,5100000,,environmental services,51 - 200,29,50,7.76060702179883e-08
19988,c:267773,Joy Travels Pvt. Ltd,joy-travels.com,1984-05-17,,IND,Company,travel,,1,"leisure, travel & tourism",51 - 200,19,1,5.1912757498727303e-08
